,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
106,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
107,Quinn Cook,PG,27,LAL,16,0,3.9,0.8,1.6,.462,0.3,0.8,.385,0.4,0.8,.538,.558,0.3,0.3,.800,0.0,0.3,0.3,0.3,0.1,0.1,0.2,0.1,2.1
108,Tyler Cook,PF,23,BRK,4,0,4.3,0.3,0.8,.333,0.0,0.0,,0.3,0.8,.333,.333,0.0,0.0,,0.3,0.3,0.5,0.5,0.0,0.0,0.3,0.5,0.5
109,DeMarcus Cousins,C,30,HOU,25,11,20.2,3.2,8.4,.376,1.6,4.6,.336,1.6,3.8,.426,.469,1.8,2.4,.746,1.2,6.4,7.6,2.4,0.8,0.7,1.6,3.0,9.6
110,Robert Covington,PF,30,POR,33,33,31.9,2.8,7.4,.374,1.7,5.2,.333,1.0,2.2,.472,.492,0.7,0.8,.821,0.8,5.8,6.6,1.7,1.6,1.2,1.2,2.6,7.9
111,Torrey Craig,SF,30,MIL,17,0,11.4,1.0,2.5,.395,0.5,1.2,.381,0.5,1.3,.409,.488,0.1,0.1,.500,0.8,1.7,2.5,0.8,0.5,0.4,0.3,1.4,2.5
112,Jae Crowder,PF,30,PHO,32,19,27.6,3.4,8.5,.402,2.4,6.4,.376,1.0,2.1,.485,.544,0.9,1.1,.829,0.4,4.6,5.0,2.1,0.8,0.3,0.9,1.8,10.1
113,Jarrett Culver,SG,21,MIN,19,7,19.8,2.8,6.7,.422,0.4,1.8,.229,2.4,4.9,.495,.453,1.1,1.8,.600,1.6,3.2,4.7,0.8,0.6,0.4,1.2,2.1,7.2
114,Seth Curry,SG,30,PHI,28,28,29.9,4.4,9.4,.469,2.0,4.5,.448,2.4,4.9,.489,.576,1.7,1.9,.923,0.2,1.8,2.0,2.8,0.9,0.3,1.5,1.7,12.5
115,Stephen Curry,PG,32,GSW,35,35,34.1,9.8,20.5,.478,4.8,11.7,.411,5.0,8.8,.567,.595,5.3,5.6,.934,0.5,5.0,5.5,6.3,1.3,0.1,3.2,1.8,29.7
116,Anthony Davis,PF,27,LAL,23,23,32.8,8.9,16.7,.533,0.7,2.5,.293,8.1,14.1,.575,.555,4.0,5.7,.715,2.0,6.3,8.4,3.0,1.3,1.8,2.0,1.8,22.5
117,Ed Davis,C,31,MIN,19,7,13.9,0.9,2.3,.419,0.0,0.0,,0.9,2.3,.419,.419,0.4,0.4,.875,2.0,3.1,5.1,1.0,0.5,0.5,0.3,2.6,2.3
118,Terence Davis,SG,23,TOR,30,3,14.7,2.6,6.2,.422,1.3,3.7,.364,1.3,2.6,.506,.529,0.5,0.6,.889,0.3,1.6,1.9,1.1,0.5,0.2,0.8,1.5,7.1
119,DeMar DeRozan,PF,31,SAS,29,29,33.8,6.7,13.8,.484,0.6,1.8,.308,6.1,12.0,.510,.504,6.0,6.8,.893,0.8,4.1,4.9,7.2,0.9,0.3,1.7,1.9,20.0
120,Hamidou Diallo,SG,22,OKC,32,5,23.8,4.5,9.3,.481,0.4,1.3,.293,4.1,8.0,.512,.502,2.6,4.1,.629,1.2,4.0,5.2,2.4,1.0,0.4,1.5,2.6,11.9
121,Gorgui Dieng,C,31,MEM,22,1,16.9,2.5,4.9,.519,1.0,2.2,.479,1.5,2.7,.550,.625,1.7,2.0,.884,1.3,3.2,4.5,1.3,0.8,0.6,1.0,1.7,7.9
122,Spencer Dinwiddie,SG,27,BRK,3,3,21.3,2.0,5.3,.375,0.7,2.3,.286,1.3,3.0,.444,.438,2.0,2.0,1.000,0.0,4.3,4.3,3.0,0.7,0.3,1.7,1.3,6.7
123,Donte DiVincenzo,SG,24,MIL,36,36,26.7,3.9,9.3,.418,1.9,4.9,.384,2.0,4.4,.456,.519,0.6,0.9,.636,1.2,3.5,4.7,3.0,1.1,0.2,1.2,1.5,10.3
124,Luka Dončić,PG,21,DAL,32,32,35.2,10.0,20.9,.478,2.7,7.4,.357,7.3,13.4,.544,.541,6.0,8.0,.757,0.8,7.6,8.4,9.0,1.0,0.7,4.2,2.0,28.6
125,Luguentz Dort,SG,21,OKC,35,35,29.7,4.3,11.0,.388,1.9,6.0,.325,2.3,5.0,.463,.477,1.9,2.5,.750,0.7,2.8,3.5,1.5,0.9,0.3,1.5,2.4,12.3
126,Damyean Dotson,SG,26,CLE,30,6,18.8,2.6,6.6,.401,1.0,3.5,.279,1.7,3.1,.538,.475,0.6,0.9,.692,0.1,1.6,1.8,2.2,0.4,0.1,0.8,0.9,6.8
127,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
128,Devon Dotson,PG,21,CHI,1,0,10.0,2.0,4.0,.500,0.0,0.0,,2.0,4.0,.500,.500,0.0,0.0,,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,4.0
129,Sekou Doumbouya,PF,20,DET,32,2,13.7,1.6,4.4,.355,0.5,1.9,.250,1.1,2.5,.432,.408,0.6,0.8,.731,0.5,1.8,2.3,0.7,0.4,0.1,0.6,1.6,4.2
130,PJ Dozier,SG,24,DEN,21,0,19.4,2.8,6.0,.457,1.0,2.4,.392,1.8,3.6,.500,.535,1.1,1.8,.605,0.9,3.0,3.9,1.7,0.5,0.6,0.8,1.7,7.6
131,Goran Dragić,PG,34,MIA,22,8,27.1,5.3,11.5,.458,1.6,4.4,.361,3.7,7.1,.519,.528,2.6,3.1,.841,0.3,2.8,3.1,4.8,0.6,0.2,2.8,2.6,14.8
132,Andre Drummond,C,27,CLE,25,25,28.9,7.2,15.2,.474,0.0,0.3,.000,7.2,14.9,.484,.474,3.1,5.2,.597,4.0,9.4,13.5,2.6,1.6,1.2,3.2,2.8,17.5
133,Jared Dudley,PF,35,LAL,11,0,6.9,0.2,0.6,.286,0.2,0.5,.400,0.0,0.2,.000,.429,0.0,0.0,,0.4,1.4,1.7,0.5,0.1,0.1,0.2,0.6,0.5
134,Kevin Durant,PF,32,BRK,19,18,35.7,9.9,18.9,.524,2.6,5.9,.434,7.3,12.9,.565,.592,6.6,7.6,.869,0.4,6.9,7.3,5.3,0.7,1.4,3.5,2.3,29.0
135,Anthony Edwards,SG,19,MIN,36,19,29.1,5.5,14.9,.371,1.9,6.3,.302,3.6,8.7,.420,.434,1.9,2.4,.805,0.7,3.3,4.0,2.5,0.9,0.4,1.8,1.5,14.9
136,Carsen Edwards,SG,22,BOS,14,1,10.5,2.1,4.5,.460,0.8,2.4,.324,1.3,2.1,.621,.548,0.5,0.6,.778,0.1,0.9,1.0,0.4,0.3,0.1,0.1,1.1,5.4
137,CJ Elleby,SF,20,POR,13,0,8.1,1.1,2.4,.452,0.4,1.5,.263,0.7,0.9,.750,.532,0.5,0.7,.667,0.3,0.8,1.1,0.2,0.3,0.2,0.2,1.4,3.0
138,Wayne Ellington,SG,33,DET,28,24,23.2,3.7,8.1,.454,2.8,6.4,.433,0.9,1.8,.531,.623,0.7,1.0,.741,0.3,1.4,1.7,1.4,0.5,0.2,0.7,1.5,10.8
139,Joel Embiid,C,26,PHI,30,30,33.0,9.5,18.2,.521,1.2,3.0,.416,8.3,15.3,.541,.555,9.9,11.6,.856,2.2,9.4,11.6,3.3,1.2,1.4,3.2,2.5,30.2
140,James Ennis,SF,30,ORL,24,23,21.4,2.5,5.0,.500,0.9,2.0,.447,1.6,3.0,.534,.588,1.4,1.8,.786,1.1,2.8,3.9,1.3,0.8,0.3,0.9,2.2,7.3
141,Drew Eubanks,C,23,SAS,15,0,12.0,1.4,3.4,.412,0.0,0.0,,1.4,3.4,.412,.412,0.9,1.3,.700,0.6,2.5,3.1,0.6,0.1,1.1,0.5,1.3,3.7
142,Dante Exum,SG,25,CLE,6,3,19.3,1.7,4.3,.385,0.3,1.8,.182,1.3,2.5,.533,.423,0.2,0.3,.500,0.3,2.5,2.8,2.2,0.7,0.3,1.2,1.5,3.8
143,Tacko Fall,C,25,BOS,8,0,7.1,1.1,1.6,.692,0.0,0.0,,1.1,1.6,.692,.692,0.4,1.0,.375,1.0,1.6,2.6,0.1,0.0,1.3,0.1,1.3,2.6
144,Derrick Favors,C,29,UTA,34,0,16.2,2.5,3.9,.649,0.0,0.0,.000,2.5,3.8,.654,.649,1.3,1.7,.789,1.9,3.6,5.5,0.8,0.5,0.9,0.6,2.4,6.3
145,Cristiano Felício,C,28,CHI,6,0,6.3,0.5,0.7,.750,0.0,0.0,,0.5,0.7,.750,.750,0.8,1.3,.625,1.0,1.0,2.0,0.8,0.3,0.0,0.5,0.5,1.8
146,Terrance Ferguson,SG,22,PHI,9,0,3.8,0.1,0.6,.200,0.0,0.3,.000,0.1,0.2,.500,.200,0.0,0.0,,0.0,0.1,0.1,0.2,0.0,0.0,0.3,0.6,0.2
147,Bruno Fernando,C,22,ATL,18,0,8.4,0.6,1.4,.440,0.0,0.1,.000,0.6,1.3,.478,.440,0.5,0.8,.600,0.7,2.6,3.3,0.5,0.1,0.1,0.8,0.9,1.7
148,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
149,Yogi Ferrell,PG,27,CLE,2,0,20.0,4.0,10.5,.381,1.5,4.5,.333,2.5,6.0,.417,.452,0.0,1.0,.000,1.5,2.0,3.5,2.5,1.5,0.5,1.5,2.0,9.5
150,Dorian Finney-Smith,PF,27,DAL,25,25,31.5,3.1,7.2,.428,1.6,4.8,.345,1.4,2.4,.590,.542,0.4,0.5,.833,1.4,3.7,5.1,1.4,1.0,0.4,0.6,2.7,8.2
151,Malachi Flynn,PG,22,TOR,15,0,8.3,0.8,3.0,.267,0.3,1.7,.192,0.5,1.3,.368,.322,0.3,0.4,.667,0.1,0.7,0.7,1.1,0.3,0.0,0.3,0.8,2.2
152,Bryn Forbes,SG,27,MIL,36,6,18.8,3.4,7.2,.467,2.0,4.5,.448,1.3,2.7,.500,.608,0.6,0.8,.741,0.2,1.1,1.3,0.6,0.2,0.0,0.5,1.1,9.3
153,Trent Forrest,PG,22,UTA,7,0,2.9,0.0,0.4,.000,0.0,0.3,.000,0.0,0.1,.000,.000,0.3,0.3,1.000,0.0,0.3,0.3,0.6,0.3,0.0,0.1,0.3,0.3
154,Evan Fournier,SF,28,ORL,21,21,29.2,6.0,13.4,.450,2.5,6.7,.371,3.6,6.8,.528,.543,4.0,5.0,.790,0.2,2.9,3.1,3.8,1.0,0.3,2.1,2.0,18.5
155,De'Aaron Fox,PG,23,SAC,35,35,34.2,8.4,18.0,.466,1.8,5.3,.342,6.5,12.6,.518,.517,4.5,6.6,.672,0.7,2.6,3.2,7.6,1.2,0.5,3.3,2.9,23.0
156,Tim Frazier,PG,30,MEM,3,0,11.0,0.7,2.7,.250,0.0,0.7,.000,0.7,2.0,.333,.250,0.0,0.0,,0.0,1.3,1.3,2.3,0.3,0.0,1.0,1.3,1.3
157,Markelle Fultz,PG,22,ORL,8,8,26.9,5.1,13.0,.394,0.5,2.0,.250,4.6,11.0,.420,.413,2.1,2.4,.895,0.6,2.5,3.1,5.4,1.0,0.3,2.3,2.3,12.9
158,Wenyen Gabriel,PF,23,NOP,4,0,3.0,0.0,0.8,.000,0.0,0.3,.000,0.0,0.5,.000,.000,0.0,0.0,,0.3,1.0,1.3,0.3,0.0,0.0,0.0,0.0,0.0
159,Daniel Gafford,PF,22,CHI,26,11,13.2,1.9,2.9,.667,0.0,0.0,,1.9,2.9,.667,.667,1.0,1.5,.667,1.3,1.8,3.2,0.6,0.4,1.2,0.7,1.8,4.8
160,Danilo Gallinari,PF,32,ATL,24,2,21.9,3.4,8.6,.391,2.0,5.0,.388,1.4,3.6,.395,.505,3.0,3.2,.934,0.2,3.2,3.4,1.5,0.5,0.1,1.1,1.9,11.7
161,Langston Galloway,SG,29,PHO,25,0,10.5,1.5,3.3,.463,0.8,1.8,.457,0.7,1.4,.472,.591,0.6,0.6,1.000,0.2,0.9,1.0,0.6,0.2,0.0,0.3,0.6,4.5
162,Darius Garland,PG,21,CLE,28,25,32.9,6.4,14.5,.440,1.7,4.5,.384,4.7,10.1,.465,.499,1.6,1.9,.849,0.5,1.8,2.2,5.9,1.2,0.1,2.9,2.2,16.1
163,Marc Gasol,C,36,LAL,35,35,20.1,1.5,3.8,.403,0.9,2.4,.365,0.7,1.4,.469,.519,0.8,1.0,.806,0.7,3.4,4.1,2.0,0.5,1.3,0.9,2.3,4.8
164,Rudy Gay,PF,34,SAS,26,0,22.0,4.2,9.9,.419,1.6,4.3,.366,2.6,5.6,.459,.498,1.3,1.7,.767,0.9,4.3,5.2,1.5,0.7,0.5,1.2,1.8,11.2
165,Paul George,SF,30,LAC,27,27,33.5,8.3,16.7,.499,3.5,7.8,.450,4.8,8.9,.542,.604,3.5,4.0,.888,0.9,5.2,6.1,5.4,1.1,0.5,3.4,2.3,23.7
166,Taj Gibson,PF,35,NYK,12,0,15.1,1.5,2.6,.581,0.2,0.6,.286,1.3,2.0,.667,.613,0.6,1.0,.583,1.5,2.8,4.3,0.5,0.4,0.3,0.6,1.9,3.8
167,Harry Giles,C,22,POR,22,0,11.8,1.2,2.8,.419,0.1,0.4,.375,1.0,2.5,.426,.444,0.6,0.8,.722,1.1,3.8,4.9,0.9,0.2,0.4,0.7,2.0,3.1
168,Shai Gilgeous-Alexander,SG,22,OKC,30,30,34.0,8.0,15.6,.511,2.0,4.9,.412,5.9,10.7,.556,.576,5.3,6.6,.794,0.6,4.5,5.1,6.2,0.8,0.7,2.9,2.0,23.2
169,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
170,Anthony Gill,PF,28,WAS,12,1,5.6,0.3,0.8,.300,0.1,0.6,.143,0.2,0.3,.667,.350,0.3,0.3,.750,0.3,1.3,1.6,0.3,0.3,0.2,0.3,0.3,0.8
171,Rudy Gobert,C,28,UTA,36,36,30.7,5.4,8.5,.641,0.0,0.0,.000,5.4,8.5,.643,.641,3.3,5.5,.599,3.3,9.8,13.1,1.3,0.5,2.7,1.8,2.3,14.2
172,Brandon Goodwin,PG,25,ATL,24,0,12.0,1.5,4.4,.330,0.6,2.2,.283,0.8,2.2,.377,.401,0.7,1.0,.708,0.1,1.0,1.1,1.8,0.4,0.0,0.5,1.0,4.3
173,Aaron Gordon,PF,25,ORL,19,19,29.1,4.8,11.2,.427,1.6,4.4,.369,3.2,6.8,.465,.500,2.6,4.2,.613,1.7,5.5,7.2,4.2,0.7,0.8,2.8,2.0,13.8
174,Eric Gordon,SG,32,HOU,26,12,29.3,5.9,13.5,.437,2.5,7.7,.328,3.3,5.7,.584,.531,3.5,4.2,.836,0.3,1.9,2.2,2.7,0.5,0.5,1.9,1.6,17.8
175,Devonte' Graham,PG,25,CHO,25,25,32.8,4.4,12.4,.352,2.8,8.1,.347,1.6,4.3,.361,.465,2.2,2.8,.775,0.6,2.4,3.0,5.7,1.0,0.0,1.4,1.5,13.7
176,Jerami Grant,SF,26,DET,33,33,36.2,7.7,17.8,.433,2.5,6.8,.363,5.2,11.0,.477,.503,5.6,6.3,.889,0.7,4.6,5.3,2.9,0.8,1.1,1.9,2.7,23.4
177,Danny Green,SF,33,PHI,36,36,28.3,2.9,7.5,.393,2.2,5.9,.376,0.7,1.6,.456,.541,0.4,0.6,.650,0.9,2.7,3.6,1.7,1.3,0.8,1.3,1.8,8.5
178,Draymond Green,PF,30,GSW,31,31,29.6,2.2,5.6,.391,0.5,1.9,.237,1.7,3.7,.470,.431,0.9,1.2,.711,0.7,5.3,6.1,8.6,1.4,0.7,2.7,3.2,5.7
179,JaMychal Green,PF,30,DEN,25,4,20.5,3.2,7.2,.444,1.6,3.8,.427,1.6,3.4,.464,.558,1.1,1.3,.844,1.6,4.4,6.0,1.0,0.6,0.3,1.0,2.7,9.1
180,Javonte Green,SG,27,BOS,22,2,15.0,1.8,3.2,.549,0.3,1.0,.318,1.5,2.2,.653,.599,0.9,1.4,.667,0.9,1.4,2.3,0.5,0.8,0.1,0.5,1.3,4.8
181,Jeff Green,C,34,BRK,33,16,26.4,3.4,6.8,.507,1.5,3.5,.422,1.9,3.2,.598,.617,1.2,1.5,.796,0.5,3.1,3.6,1.4,0.7,0.2,0.8,1.9,9.5
182,Josh Green,SG,20,DAL,17,5,12.5,1.0,2.1,.472,0.1,0.7,.167,0.9,1.4,.625,.500,0.4,0.6,.545,0.7,1.6,2.3,0.6,0.2,0.1,0.6,0.9,2.5
183,Blake Griffin,PF,31,DET,20,20,31.3,4.1,11.1,.365,2.0,6.2,.315,2.1,4.9,.429,.453,2.2,3.1,.710,0.4,4.9,5.2,3.9,0.7,0.1,1.6,2.1,12.3
184,Kyle Guy,PG,23,SAC,14,0,8.2,1.0,3.1,.318,0.4,1.7,.250,0.6,1.4,.400,.386,0.5,0.6,.875,0.2,0.8,1.0,1.1,0.3,0.0,0.2,0.6,2.9
185,Rui Hachimura,PF,22,WAS,27,27,30.1,4.5,9.9,.457,0.8,2.6,.304,3.7,7.3,.510,.496,2.7,3.5,.758,1.1,4.4,5.4,1.7,0.7,0.1,1.0,2.3,12.5
186,Ashton Hagans,PG,21,MIN,2,0,2.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0
187,Tyrese Haliburton,PG,20,SAC,30,2,30.1,5.1,10.3,.494,2.4,5.5,.433,2.7,4.9,.562,.608,0.7,0.8,.833,1.0,2.6,3.6,5.4,1.4,0.6,1.5,1.2,13.2
188,Josh Hall,SF,20,OKC,7,0,7.3,0.6,2.6,.222,0.1,1.1,.125,0.4,1.4,.300,.250,0.4,1.0,.429,0.1,1.1,1.3,1.0,0.0,0.0,0.6,1.0,1.7
189,R.J. Hampton,PG,19,DEN,24,0,9.2,1.0,2.4,.414,0.2,0.8,.278,0.8,1.7,.475,.457,0.3,0.4,.700,0.4,1.5,2.0,0.5,0.2,0.1,0.5,0.9,2.5
190,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
191,Tim Hardaway Jr.,SG,28,DAL,33,17,29.5,5.8,13.2,.438,2.9,7.6,.385,2.8,5.5,.511,.550,2.0,2.5,.802,0.4,2.8,3.2,1.7,0.6,0.2,0.9,1.5,16.4
192,James Harden,PG-SG,31,TOT,31,31,37.8,8.1,16.7,.484,3.3,8.1,.401,4.8,8.5,.562,.581,5.9,6.9,.859,0.8,7.0,7.8,11.1,1.2,0.7,4.2,2.2,25.3
193,James Harden,SG,31,HOU,8,8,36.3,7.5,16.9,.444,3.1,9.0,.347,4.4,7.9,.556,.537,6.6,7.5,.883,0.6,4.5,5.1,10.4,0.9,0.8,4.3,1.8,24.8
194,James Harden,PG,31,BRK,23,23,38.4,8.3,16.6,.497,3.3,7.8,.422,5.0,8.8,.564,.597,5.7,6.7,.850,0.9,7.8,8.7,11.4,1.3,0.7,4.2,2.3,25.5
195,Maurice Harkless,SF,27,MIA,10,3,10.9,0.4,1.0,.400,0.4,0.8,.500,0.0,0.2,.000,.600,0.0,0.2,.000,0.1,0.8,0.9,0.7,0.2,0.3,0.2,1.2,1.2
196,Jared Harper,PG,23,NYK,2,0,2.5,0.0,0.5,.000,0.0,0.0,,0.0,0.5,.000,.000,1.0,1.0,1.000,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
197,Montrezl Harrell,C,27,LAL,37,1,24.1,5.6,9.0,.626,0.0,0.2,.000,5.6,8.9,.637,.626,2.5,3.3,.756,2.4,4.0,6.4,1.1,0.6,0.7,1.1,2.1,13.8
198,Gary Harris,SG,26,DEN,19,19,30.6,3.6,8.2,.442,1.3,3.9,.320,2.4,4.3,.556,.519,1.2,1.6,.733,0.7,1.8,2.5,1.7,0.9,0.2,0.7,1.9,9.7
199,Jalen Harris,SG,22,TOR,2,0,2.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.5,0.0,0.5,0.0,0.0,0.0,0.5,1.0,0.0
200,Joe Harris,SF,29,BRK,37,33,30.9,5.4,10.2,.530,3.4,6.7,.506,2.0,3.5,.577,.697,0.6,0.8,.700,0.5,3.0,3.5,1.8,0.5,0.2,0.8,2.2,14.8
201,Tobias Harris,PF,28,PHI,31,31,34.4,7.8,15.2,.513,1.6,4.1,.402,6.1,11.1,.554,.567,3.0,3.4,.887,1.2,6.4,7.6,3.4,0.8,0.8,1.9,2.1,20.2
202,Shaquille Harrison,SG,27,UTA,17,0,3.3,0.4,1.2,.300,0.0,0.1,.000,0.4,1.1,.333,.300,0.3,0.4,.833,0.2,0.4,0.5,0.5,0.1,0.0,0.3,0.2,1.0
203,Josh Hart,SF,25,NOP,36,3,28.7,3.2,7.1,.447,1.4,4.1,.333,1.8,3.0,.602,.543,1.5,1.9,.757,1.1,6.3,7.3,2.1,0.8,0.3,0.8,2.4,9.2
204,Isaiah Hartenstein,C,22,DEN,26,0,9.3,1.5,2.9,.513,0.0,0.0,,1.5,2.9,.513,.513,0.8,1.3,.588,1.4,1.4,2.8,0.5,0.4,0.6,0.7,2.0,3.8
205,Jaxson Hayes,C,20,NOP,25,1,12.4,1.8,2.7,.676,0.0,0.0,,1.8,2.7,.676,.676,0.8,1.2,.655,1.2,2.3,3.6,0.4,0.4,0.5,0.6,1.8,4.4
206,Killian Hayes,PG,19,DET,7,7,21.1,1.9,6.7,.277,0.7,2.9,.250,1.1,3.9,.296,.330,0.1,0.3,.500,0.1,1.0,1.1,3.6,0.3,0.0,2.4,2.1,4.6
207,Gordon Hayward,SF,30,CHO,31,31,34.8,7.9,16.2,.487,2.1,5.1,.405,5.8,11.1,.525,.551,3.7,4.3,.857,0.9,4.5,5.4,3.9,1.3,0.4,2.0,1.8,21.5
208,Juan Hernangómez,PF,25,MIN,17,6,15.9,2.1,5.3,.400,0.9,3.1,.302,1.2,2.2,.541,.489,0.8,1.1,.684,0.8,3.6,4.4,0.6,0.4,0.1,0.4,0.8,5.9
209,Willy Hernangómez,C,26,NOP,20,2,18.0,3.0,5.5,.545,0.1,0.3,.200,3.0,5.3,.562,.550,1.2,1.8,.667,2.7,4.3,7.0,1.3,0.4,0.5,0.6,1.4,7.3
210,Tyler Herro,SG,21,MIA,25,14,32.7,6.0,13.8,.438,2.0,5.8,.347,4.0,8.0,.502,.510,1.8,2.3,.772,0.4,5.3,5.7,3.6,0.6,0.4,2.4,1.6,15.8
211,Buddy Hield,SG,28,SAC,36,36,34.8,5.5,14.1,.391,3.9,10.3,.378,1.6,3.8,.423,.529,1.5,1.8,.844,0.3,4.2,4.5,3.2,0.8,0.3,1.8,2.7,16.4
212,George Hill,PG,34,OKC,14,14,26.4,4.4,8.6,.508,1.6,4.1,.386,2.8,4.5,.619,.600,1.5,1.8,.840,0.6,1.5,2.1,3.1,0.9,0.1,0.9,0.9,11.8
213,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
